#doc source pos typeindex type topic
#alpha : 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 
#beta : 0.01
7 ../../../data/input/txt/721_1230_0.txt 6 110 eager 39
7 ../../../data/input/txt/721_1230_0.txt 7 111 dead 73
7 ../../../data/input/txt/721_1230_0.txt 8 112 expended 67
7 ../../../data/input/txt/721_1230_0.txt 9 113 day 76
7 ../../../data/input/txt/721_1230_0.txt 10 114 helped 55
7 ../../../data/input/txt/721_1230_0.txt 11 115 make 73
7 ../../../data/input/txt/721_1230_0.txt 12 25 bright 94
7 ../../../data/input/txt/721_1230_0.txt 13 116 mighty 73
7 ../../../data/input/txt/721_1230_0.txt 14 117 pleasure 24
7 ../../../data/input/txt/721_1230_0.txt 15 118 suits 80
7 ../../../data/input/txt/721_1230_0.txt 16 119 magnifies 63
7 ../../../data/input/txt/721_1230_0.txt 17 120 freight 55
8 ../../../data/input/txt/1969_440_0.txt 0 121 doomed 94
8 ../../../data/input/txt/1969_440_0.txt 1 122 regard 94
8 ../../../data/input/txt/1969_440_0.txt 2 123 sunrise 94
8 ../../../data/input/txt/1969_440_0.txt 3 124 delight 9
8 ../../../data/input/txt/1969_440_0.txt 4 125 burns 94
8 ../../../data/input/txt/1969_440_0.txt 5 126 abroad 98
8 ../../../data/input/txt/1969_440_0.txt 6 127 doubt 88
8 ../../../data/input/txt/1969_440_0.txt 7 128 witness 31
8 ../../../data/input/txt/1969_440_0.txt 8 129 man 88
8 ../../../data/input/txt/1969_440_0.txt 9 130 die 5
8 ../../../data/input/txt/1969_440_0.txt 10 131 tomorrow 94
8 ../../../data/input/txt/1969_440_0.txt 11 132 harks 16
8 ../../../data/input/txt/1969_440_0.txt 12 133 meadow 94
8 ../../../data/input/txt/1969_440_0.txt 13 134 bird 43
8 ../../../data/input/txt/1969_440_0.txt 14 35 it's 2
8 ../../../data/input/txt/1969_440_0.txt 15 135 music 9
8 ../../../data/input/txt/1969_440_0.txt 16 136 stirs 5
8 ../../../data/input/txt/1969_440_0.txt 17 137 axe 5
8 ../../../data/input/txt/1969_440_0.txt 18 138 clamors 94
